pct_mouse_click	pct_scroll_move	pct_doubleclick	pct_input	screen_width	session_start	page_activity_duration	ack	pct_click	pct_mouse_move	browser_name	pct_scrandom	pct_scroll_move_duration	mouse_move_total_rel_distance	product_ean	screen_height	pct_rage_click	pct_wild_mouse	session_duration	wild_mouse_duration	session_id	pct_click_product_info	scroll_move_total_rel_distance	total_load_time	user_id
15.42643	73.75837	14.22817	0.09053	1280	2023-07-03 05:34:09	15.11929	1.00000	12.04000	14.17944	chrome	49.99804	14.52519	14.69648	8525490816280	768	43.33209	51.88264	138.60571	12.41477	1461066	56.48582	13.83857	2.33065	890
15.48596	54.90902	8.30052	0.04455	1920	2020-01-28 21:20:56	10.86091	0.00000	11.05990	14.86774	edge	53.92090	19.04540	12.54877	5174398247424	600	35.05829	40.67061	225.94199	11.70319	1126872	35.85730	13.67177	2.95391	955
15.74863	49.11143	10.84877	0.06681	lower	2018-11-14 10:29:52	12.83707	0.00000	10.09321	15.59479	chrome	48.51739	18.88948	13.05609	3110909115280	600	29.25539	46.68804	192.99630	12.11454	170135	55.32555	13.22491	1.80764	1000
12.10871	80.59104	14.96648	2.56062	800	2022-12-03 14:22:11	14.56187	1.00000	14.88073	11.92212	mobile	52.87606	9.12355	12.86370	8179205006710	768	42.66888	20.29352	112.21705	15.76038	206506	69.08318	12.34167	5.28366	274
16.15943	36.63070	16.51709	0.02999	800	2022-06-30 10:27:20	14.82558	1.00000	12.05854	15.23903	edge	41.81940	14.11466	12.73469	8774743328173	1080	44.33339	17.70081	88.64858	11.31025	546112	39.26594	14.95629	2.38779	766
12.74769	50.83757	15.81255	0.75400	800	2022-03-04 16:56:59	14.99973	1.00000	13.72675	17.12124	edge	46.14743	15.05353	13.05069	8095695892315	600	38.42245	57.18986	67.67583	14.53741	1311260	42.53690	13.32943	6.04438	1237
12.48609	43.95839	15.95842	0.55162	1024	2019-06-03 17:13:27	15.25712	1.00000	13.55559	11.25023	edge	49.25193	10.30253	15.23585	7784534923211	600	49.82447	43.58121	165.10647	14.22542	450774	37.45543	14.04991	6.26745	916
16.98341	49.71102	9.55857	0.18507	1366	2018-11-05 16:48:45	12.93137	0.00000	9.99714	14.13238	edge	46.63696	16.49696	14.46004	6513081791346	600	41.86234	31.56797	185.37135	13.13087	866202	45.31578	13.54481	5.66148	323
13.55752	48.78870	13.59427	0.02255	1366	2022-12-27 03:29:25	14.99018	0.00000	8.75971	15.58112	chrome	28.94307	21.94622	14.18538	1678170381343	800	41.82496	51.25914	264.48579	11.01209	357153	43.08272	12.71376	9.64904	1149
11.51861	29.22948	14.93753	1.48851	800	2020-01-27 04:43:59	15.32748	1.00000	13.20764	14.48067	chrome	54.23860	14.26335	12.97636	3654356380063	600	39.15357	42.28841	159.66804	15.21792	437485	68.40068	15.74588	6.57171	1765
15.89378	52.69044	16.43572	0.17017	1024	2021-07-30 23:25:13	15.45910	1.00000	12.32745	14.54913	firefox	44.13863	12.15845	15.74581	1401725513414	600	48.36197	27.39711	111.46501	13.04902	930819	49.24087	14.10213	3.77978	2249
12.89996	64.72245	15.78188	2.00241	1280	2019-10-04 12:54:25	14.53022	1.00000	15.78843	11.46917	chrome	59.28062	6.88076	12.78503	4930560143915	800	41.94178	42.91305	121.50126	15.51434	110763	48.26538	13.00949	7.58198	1157
13.79308	58.83711	14.44909	0.15687	1280	2022-10-30 00:41:47	14.78085	0.00000	11.15183	12.32942	chrome	50.35041	14.18413	13.99051	6274703174113	600	30.10648	43.52942	163.75708	12.96739	468273	34.86053	14.13277	4.65390	1225
14.74260	64.72758	16.06560	0.00624	1366	2021-01-06 23:03:35	14.38762	1.00000	10.10476	15.86747	firefox	35.98102	19.21359	12.24089	2252776169933	1080	60.14879	48.27439	162.32788	9.74750	1417297	25.00011	13.28778	4.78686	869
15.72637	61.10102	12.44182	0.03725	higher	2019-04-23 03:26:20	12.27469	0.00000	10.40514	16.16351	other	33.50814	18.36008	15.11035	0807600136197	1080	19.26511	20.40134	84.57615	11.52301	1140812	39.77509	14.06505	8.82101	929
11.75598	54.44724	15.47001	2.71664	1920	2019-01-31 20:01:25	13.65885	1.00000	14.51696	12.07339	edge	61.19453	9.07671	11.77728	6406354302786	800	30.64215	46.06075	210.02763	15.81948	1023651	60.73135	12.16658	2.85184	2068
14.94349	61.88376	13.58230	0.00173	1024	2023-01-31 21:24:00	15.28575	1.00000	10.24420	15.88133	edge	56.57066	22.15165	10.94397	4557095650840	1024	38.58383	57.29517	143.78335	8.64971	54455	80.96653	12.64682	6.61759	1784
15.36721	52.53939	14.19381	0.03102	1366	2021-10-29 16:31:06	15.51125	1.00000	12.39247	16.19350	mobile	28.64115	17.37695	14.79412	0072111027566	lower	36.86714	47.48671	217.41729	11.33623	1455323	40.71303	14.65955	7.12665	65
13.36649	36.00201	16.28014	0.01606	1366	2022-10-06 03:35:02	10.23893	0.00000	10.53273	17.42805	edge	56.37928	18.71330	13.80688	9648277908288	600	41.05769	75.42873	156.35212	10.69924	213122	67.75718	12.30605	4.97788	2318
15.05108	38.63490	15.16261	0.21591	800	2023-09-20 18:29:12	15.51434	1.00000	13.03659	15.45526	chrome	30.22232	13.88599	13.50998	0856287945868	600	40.53975	45.92578	150.50085	13.28707	1070093	43.94356	13.77552	3.73436	2454
15.92857	36.02890	11.71668	0.04525	1024	2020-10-13 15:09:16	11.52695	0.00000	11.83191	15.49274	safari	43.11147	16.40296	14.47209	3699874073479	1024	62.67564	44.92690	253.01245	11.71677	356483	49.81961	13.87488	4.63609	362
10.62850	40.56984	12.84826	22.22477	lower	2020-09-26 15:52:37	14.23294	0.00000	13.56902	11.04752	edge	62.14646	10.04132	12.88450	6114226192679	1080	26.87581	73.75360	117.53276	17.92137	415827	57.23858	14.25733	1.13713	1515
15.85057	48.57671	13.35511	0.17114	1920	2019-04-16 05:08:02	12.89798	0.00000	13.03486	14.28236	firefox	45.06307	12.49074	13.10695	9121782314459	higher	52.91618	62.09252	220.37390	13.05346	1398586	20.32702	15.40974	9.15844	1884
16.81332	60.76502	11.06877	0.26631	1280	2019-02-10 09:09:06	13.58005	0.00000	10.71345	14.67898	edge	48.01297	15.40850	13.34630	5127916294943	800	45.75516	48.56486	174.74517	13.49522	1458545	51.11010	14.30880	4.39595	2445
10.41587	49.84683	13.91598	0.49126	800	2018-11-05 08:38:47	15.77749	1.00000	16.98619	10.94841	opera	41.72801	10.87568	14.76528	1651442884582	lower	42.78694	35.84153	85.96024	14.10932	200115	47.98802	13.32712	1.12711	808
10.67976	72.57265	15.96245	0.61665	1024	2021-01-23 08:22:42	14.01582	1.00000	19.33740	10.86334	other	38.72090	6.18735	13.36230	0226266427317	600	20.89945	33.44004	166.63841	14.33625	1093989	39.15752	13.64848	5.11768	2082
16.02656	49.10909	12.57694	0.00790	800	2022-04-24 19:11:48	16.21075	1.00000	13.96138	16.03780	edge	32.73883	18.10930	12.35602	6660437907804	1024	56.48243	29.53404	98.26388	9.98074	1252528	52.40002	13.48791	2.73177	676
15.38853	60.57956	17.58585	0.58594	1280	2023-05-05 10:02:14	14.62490	1.00000	12.89533	14.75208	edge	55.87630	9.96793	13.32921	7744938547550	1024	35.71501	78.39116	221.68711	14.28585	1003096	46.87161	13.07120	2.69591	197
15.71746	48.53181	11.45266	0.01367	800	2022-02-15 09:29:13	8.30884	0.00000	13.17139	15.49829	edge	53.38654	15.45968	12.55404	5664640399549	higher	51.86450	50.16513	189.44541	10.52376	160060	37.83366	13.16104	0.77638	1604
13.69150	53.37623	16.53336	0.87785	1024	2020-03-31 06:52:25	15.16739	1.00000	17.09871	10.46288	mobile	58.95571	4.68074	15.34665	6754546555787	1024	25.10375	47.96045	187.21794	14.68926	1095890	32.08579	10.98231	1.62054	914
11.32037	50.56295	14.56923	1.30487	1920	2018-11-10 14:42:14	16.02976	0.00000	16.09525	12.12822	edge	73.67951	10.58486	14.53807	2766164741576	800	49.98705	44.16605	111.96775	15.08614	785779	49.85020	11.82344	6.50583	1889
14.52834	56.71482	13.64818	0.04087	1024	2019-04-25 12:43:37	12.06232	0.00000	16.09311	14.42532	chrome	77.17467	12.11482	13.03722	3367711742658	768	36.15258	46.82674	149.56302	11.61474	162064	39.24984	13.42027	6.26536	2281
15.02797	63.54640	11.15409	0.11857	1366	2019-10-06 17:55:23	13.07692	0.00000	10.62871	13.19153	edge	37.72259	16.21114	13.30182	3997061891296	1024	46.52722	38.77855	186.74361	12.68664	587891	49.64815	15.53179	0.40410	1012
14.34563	45.62302	10.63884	0.03379	lower	2020-10-08 09:07:25	11.47001	0.00000	11.79784	14.08106	edge	38.53553	17.57003	13.83313	0901671560605	800	63.42364	37.98860	169.10701	11.43918	732649	53.06777	15.84676	4.49892	2315
13.44422	70.39815	16.10700	3.25731	1920	2018-10-21 09:40:39	13.83251	1.00000	16.14483	10.52421	chrome	55.57652	4.22558	14.67145	3799752218036	1080	41.40907	45.20249	80.07483	16.00106	1171968	49.57456	13.61273	2.54213	2262
16.04706	41.79435	15.65884	0.04196	1366	2019-03-12 07:02:05	15.30701	1.00000	11.36264	14.30974	edge	32.77341	14.42669	11.30253	7757903357269	1080	53.17415	80.25042	218.25239	11.64847	1226004	43.45602	12.83421	9.48278	1067
17.48680	53.01423	15.62761	0.00155	1280	2019-12-12 18:49:23	14.14254	0.00000	8.42796	16.67739	chrome	67.20704	20.64754	14.75985	1795683551800	600	55.79222	65.28598	123.14342	8.10601	1200894	65.20945	12.76475	1.58086	185
15.37409	49.89920	16.18539	0.01654	1366	2020-10-27 15:45:32	12.96060	0.00000	11.49036	17.49210	safari	71.98329	17.38590	13.28384	5079583753394	1024	42.32311	35.41309	347.84320	10.71719	24940	35.38443	14.47017	1.41160	1947
10.89564	50.34494	16.12850	1.24651	lower	2020-10-17 07:48:48	13.42995	1.00000	14.92732	12.33929	chrome	52.63896	9.93622	14.07584	7245567544090	1080	18.54806	55.93803	163.86877	15.04067	499188	53.94738	14.34244	11.63840	1813
15.32064	58.03032	12.30716	0.07837	1280	2018-12-12 02:28:22	11.31582	0.00000	8.61159	16.67480	other	54.02110	19.64688	12.76613	8561976157225	768	31.59026	50.05476	196.61909	12.26800	428899	58.76198	13.65340	4.99842	2490
15.03709	44.24140	16.20755	0.34922	lower	2021-07-21 21:21:34	14.91752	1.00000	13.84278	15.96968	edge	59.86107	12.24608	11.70123	6479994065311	lower	40.58632	58.52491	198.86606	13.76743	419713	56.68074	12.87648	2.81838	450
13.02442	41.03666	14.59540	0.68880	1024	2019-02-11 23:39:27	9.01320	0.00000	13.66746	13.13889	edge	38.13470	9.58011	15.37952	3678179626023	lower	12.94775	46.18758	157.85688	14.44705	937234	49.97373	10.66285	5.56524	1947
16.42547	41.48208	15.32916	0.02813	1920	2021-10-25 16:31:08	14.55254	1.00000	11.31828	14.44083	edge	41.01879	14.54717	13.79150	0494406980965	1024	45.36581	29.78494	180.39467	11.24296	961543	44.51432	14.52852	2.10678	105
15.33271	71.81355	15.62813	0.00410	1024	2019-11-07 06:27:48	14.38693	1.00000	9.79812	15.01853	firefox	37.67038	18.91440	13.06617	7962228754802	600	41.19158	48.54500	123.43821	9.27546	350530	39.45865	12.47893	2.50873	2146
14.17265	49.94022	13.49896	0.03167	800	2022-03-02 04:45:00	14.06337	0.00000	11.04980	14.75349	opera	48.23204	18.08592	14.15739	9222204596252	600	41.39584	29.48163	135.13012	11.35940	912207	37.64010	12.95936	4.83149	1400
16.78623	55.34887	9.78738	0.09762	1024	2022-09-29 08:12:15	10.64331	0.00000	11.65610	16.03122	firefox	66.81669	16.54052	13.11674	0759470850324	768	43.52439	37.53991	22.70354	12.49262	900664	44.84837	13.00718	3.79668	345
15.00674	54.32001	14.96594	0.02746	800	2019-02-08 06:50:04	10.72889	0.00000	9.97156	15.03520	opera	55.82361	16.15002	12.55802	0237916002150	1080	6.28590	27.21929	158.79789	11.20622	969951	53.13039	12.94299	3.76438	1742
15.60686	53.68010	15.31579	0.03052	higher	2022-06-27 03:16:51	12.23710	0.00000	11.37832	16.00116	chrome	56.80336	15.62280	14.41158	8635600606257	600	22.30918	60.09061	236.37123	11.32632	431987	47.01740	12.43535	7.60475	332
12.00304	63.63477	14.69172	0.24221	1024	2019-07-06 09:41:39	17.14369	1.00000	16.55365	12.07841	chrome	50.65484	11.54597	12.34783	8138003013924	1080	50.17731	56.89987	196.72539	13.40202	158552	28.57788	11.74501	9.13994	2445
9.90911	26.08125	13.88418	4.04512	1920	2019-05-06 11:12:34	13.97211	1.00000	15.73488	10.59219	chrome	43.04963	9.26536	14.43092	0086810551307	lower	28.33948	49.35671	248.71174	16.21762	486329	33.85639	13.27455	3.07104	1649
14.50001	47.52816	15.13156	0.00941	1920	2019-10-28 00:01:05	13.58568	0.00000	12.16076	16.10750	chrome	45.62766	17.93601	12.73617	5764542858066	1024	51.34093	36.14940	174.07779	10.12361	1133626	37.84619	13.02866	1.64477	1272
11.44482	42.54152	14.91103		1366	2023-03-08 06:12:29	14.58939	1.00000	13.80959	11.64808	firefox	49.47061	10.64702	13.65232	6255474572889	768	39.62905	49.21109	177.52012	15.50270	100059	60.41542	13.57495	2.80401	82
10.65421	64.51538	14.52156	4.76317	800	2023-03-04 15:38:24	13.98435	1.00000	13.36548	11.83689	edge	41.08321	11.08070	13.15992	8244712068237	higher	47.08470	53.72040	169.66495	16.38113	646479	40.00954	13.22092	3.14871	366
14.20536	50.98205	12.94570	0.01903	1366	2019-07-01 19:09:30	10.48846	0.00000	14.28598	17.05621	chrome	29.92607	16.89554	13.46736	9989321596250	600	61.34218	43.20140	69.86974	10.84563	239765	55.32106	13.25344	2.82474	1234
11.00602	56.17332	15.34890	0.75761	1024	2021-08-23 11:45:43	15.39455	0.00000	15.03311	11.80210	firefox	66.47549	11.12824	13.32625	6959258147323	1024	38.80588	58.28664	85.43917	14.54230	999125	66.68995	12.34748	0.43994	936
14.58979	38.43546	18.63087	4.92942	800	2019-04-23 13:04:49	14.16690	1.00000	13.32280	14.57233	chrome	56.06492	7.18438	13.49640	2371142602994	lower	36.74097	70.41872	212.89507	16.41540	388550	31.39556	15.93574	2.34095	1537
14.51770	18.62658	14.87571	0.00462	higher	2018-09-28 23:58:21	13.99257	1.00000	8.92296	14.86102	chrome	41.82454	20.51086	12.14161	9329251411801	1024	61.24931	44.95158	160.87313	9.36434	1323616	77.55095	13.03845	6.40284	82
12.49388	91.52715	15.00094	0.76757	1366	2021-10-28 14:46:46	16.87976	1.00000	13.87267	12.91325	safari	49.90106	12.63770	12.42224	2561276423392	600	44.11717	66.01723	86.47867	14.55553	1199275	77.25601	11.22360	6.29860	725
11.95442	39.97703	15.02280	0.36171	1366	2018-10-29 00:17:34	15.64189	1.00000	14.74966	11.29576	chrome	32.79672	11.08479	11.92042	1297885884149	1024	31.53829	86.62488	98.77822	13.80349	863488	49.59910	13.08056	2.41306	2172
14.55771	65.50714	17.24869	0.10298	1024	2021-09-13 04:52:06	15.20987	1.00000	11.55273	16.25224	chrome	60.51014	15.36635	15.33899	8780623573939	768	54.26114	66.69339	22.03036	12.54556	909315	38.66455	14.42222	1.56385	2280
10.72870	60.26739	14.51553	0.71609	1024	2023-06-04 20:03:03	16.17379	1.00000	15.82519	13.87888	edge	40.78321	13.63455	13.35419	5518463186735	1080	45.43905	47.67627	101.12520	14.48607	859137	77.99643	13.62443	4.27620	691
13.95509	61.87126	12.77870	0.00614	1920	2019-10-25 01:02:19	15.91925	1.00000	10.10168	14.91836	edge	63.45544	22.08679	11.64679	3360603073502	1024	30.30343	66.04204	38.22161	9.72602	789687	59.47018	14.94372	0.60320	1768
14.35613	45.66326	12.19205	0.02824	1920	2018-10-15 15:19:19	11.21616	0.00000	11.77626	15.61071	opera	43.70010	17.94426	13.57789	5224082886566	600	57.52779	56.79308	76.83303	11.25464	1280735	57.21896	14.80664	2.32258	1956
17.97737	57.02694	12.83737	0.01487	lower	2023-03-03 15:22:10	15.77601	1.00000	11.03133	13.02425	edge	46.27972	15.02162	13.33006	0284972081711	600	39.43575	53.71615	213.21853	10.58022	703572	48.41660	14.68602	3.39523	1602
12.56683	54.30687	14.14177	0.11624	1280	2020-03-28 09:36:01	11.25078	0.00000	13.97553	14.11524	edge	44.91376	13.62912	12.07673	4524111601407	1024	56.74470	62.83364	104.12499	12.66553	1444937	46.79328	15.87649	1.36405	794
11.50090	55.04731	14.31953	0.00905	lower	2020-05-10 06:25:13	11.06862	0.00000	12.39639	15.15302	chrome	51.47514	19.09035	12.89569	7529466005266	1024	51.12532	55.18288	222.39768	10.10916	1287669	51.82063	10.84893	4.43822	1673
16.30547	41.42560	15.78577	0.17055	800	2023-01-01 22:29:49	14.88590	1.00000	12.41445	14.19610	edge	54.26452	11.61065	13.23060	2071917719420	1080	19.07622	65.54944	162.01169	13.05094	419140	32.71120	12.53325	8.93527	2203
14.68664	44.64739	11.80851	0.05420	1920	2023-06-01 20:35:27	12.27136	0.00000	11.91945	14.84274	edge	60.10100	16.92499	11.35765	5613471359604	768	30.40153	38.67492	212.40741	11.90068	1443675	65.35416	13.54464	9.00911	853
16.98719	52.97029	13.60515	0.07802	higher	2021-04-23 11:54:16	15.53920	1.00000	12.35636	12.95327	edge	53.89125	12.48673	13.65814	7537158745338	1080	39.32341	63.79009	152.58347	12.27251	133760	43.90894	14.29908	4.46765	690
11.12788	70.25797	15.86528	1.68549	higher	2019-08-22 08:34:29	13.84578	1.00000	16.80130	13.27533	chrome	32.25091	9.13150	15.31687	0722026049824	higher	30.67043	28.54019	144.83783	15.34202	1040866	34.93856	12.05139	7.30914	745
13.71311	43.12142	15.57143	0.25883	800	2023-07-04 08:35:05	9.19720	0.00000	12.14995	15.56723	edge	46.08476	12.76517	12.97753	9761091311574	1080	53.84788	55.30755	141.49074	13.46823	911830	67.52741	13.49947	4.13626	1807
16.52113	45.62761	18.11435	0.34855	1280	2021-05-09 20:59:33	16.44845	1.00000	13.76939	12.42137	chrome	39.98517	6.96684	13.60868	4793338606063	1024	35.67108	43.56301	125.16530	13.76618	1325787	41.37691	15.50696	2.89221	2235
12.41762	38.26714	14.91922	2.53970	1024	2020-10-05 20:08:45	15.49969	1.00000	11.76363	11.10647	edge	56.31860	11.09198	12.16723	9932789905720	800	58.29064	63.33618	151.75530	15.75215	488576	52.51557	13.94473	3.91136	1229
12.87599	58.95388	16.42794	0.02135	800	2022-06-07 06:33:00	10.44327	0.00000	11.49873	17.16326	edge	35.10273	17.83029	13.52070	6776376287706	1080	75.04957	43.40572	136.82411	10.97891	995385	74.47720	14.85388	10.30152	403
15.42803	31.88026	14.86022	0.01348	1280	2022-05-02 12:02:23	12.43284	0.00000	10.70548	15.17219	chrome	30.44590	16.76577	15.05523	8127075962193	600	31.09690	81.26154	77.07069	10.50698	646534	35.19129	13.30912	10.35476	2408
12.67923	50.74880	15.18884	0.32118	1280	2023-07-17 16:34:07	11.41665	1.00000	15.24527	15.48785	firefox	33.37691	12.09606	13.53500	1867911163687	768	29.61096	57.90577	231.42215	13.68442	1147453	52.89872	15.11820	8.67853	243
16.88076	47.54501	15.39654	0.03993	higher	2023-05-30 06:19:54	12.08023	0.00000	10.54988	16.15798	chrome	72.22975	14.92392	13.93343	6458628528613	1080	51.79703	52.55533	67.99303	11.58770	1356727	67.82884	13.55176	0.61353	1711
9.22501	46.05420	13.27513	2.42667	1920	2020-12-31 06:01:47	13.94379	1.00000	17.72083	10.88620	edge	56.04378	9.43888	14.65082	8997625615738	800	38.37454	51.16132	163.87800	15.70665	1147557	51.12615	12.82223	4.38779	807
15.33755	55.60547	15.15478	0.01148	lower	2022-12-05 07:44:42	13.40334	0.00000	11.61965	15.10265	edge	52.00371	16.39490	13.15797	7784717962648	1080	29.12266	55.56773	136.39252	10.33881	857571	61.38626	12.59131	3.39856	547
14.14798	66.05348	17.84222	0.36181	1920	2020-09-12 08:03:49	13.98194	1.00000	12.43449	16.06936	chrome	42.23106	12.68847	14.43791	2313627055673	800	59.14074	55.00755	179.78929	13.80248	108920	58.02137	11.77969	3.85383	1380
14.68471	50.13173	11.12464	0.01000	1920	2019-02-25 00:44:48	8.80414	0.00000	13.18957	15.09784	chrome	54.88813	16.77770	13.27961	6811099579728	768	35.55393	68.02503	78.00435	10.18467	1246578	44.78333	12.93906	3.97790	1800
14.51781	37.30697	10.14180	0.02159	1366	2020-02-03 20:52:21	11.82514	0.00000	8.75705	15.53338	edge	72.90475	22.21138	14.97193	2043950397170	600	46.80117	35.43403	158.24258	10.97267	186042	44.17522	11.38848	0.96938	389
12.48247	55.27368	16.58620	7.51142	800	2019-03-16 07:31:42	12.87719	1.00000	15.53931	12.34512	chrome	52.36266	5.72279	14.15153	1384587243807	1080	47.42983	56.71410	166.72479	16.83655	583682	42.40393	12.87497	1.00106	2484
14.59008	43.10895	16.69327	0.37833	1366	2023-05-28 19:38:38	14.89517	1.00000	12.80269	15.63841	chrome	55.27800	12.76080	13.49915	3351604372770	800	43.86826	59.07611	100.11989	13.84809	713795	45.59270	13.04728	1.78551	488
10.82400	48.71525	15.77223	0.71044	1024	2023-04-26 16:40:56	13.64935	1.00000	17.04011	11.13100	chrome	43.79514	8.03647	13.57116	1908232441556	600	27.05398	42.21137	163.95032	14.47811	45210	40.77687	12.69582	3.42509	1777
9.61285	67.75789	13.15939	6.57632	higher	2020-01-19 08:03:11	14.55816	1.00000	15.45092	11.31524	other	45.95762	10.74046	12.49571	3564636776298	768	47.82114	44.61040	263.07179	16.70364	512841	48.66643	15.73994	4.26055	1365
